competition_edition_id,competition_id,competition_name,season_id,season_name,player_id,player_name,player_short_name,player_birthdate,team_id,team_name,position_group,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count_p30tip,behindrun_count_p30tip,comingshortrun_count_p30tip,crossreceiverrun_count_p30tip,droppingoffrun_count_p30tip,overlaprun_count_p30tip,pullinghalfspacerun_count_p30tip,pullingwiderun_count_p30tip,aheadoftheballrun_count_p30tip,supportrun_count_p30tip,underlaprun_count_p30tip,offballrun_count_shotwithin10s_p30tip,behindrun_count_shotwithin10s_p30tip,comingshortrun_count_shotwithin10s_p30tip,crossreceiverrun_count_shotwithin10s_p30tip,droppingoffrun_count_shotwithin10s_p30tip,overlaprun_count_shotwithin10s_p30tip,pullinghalfspacerun_count_shotwithin10s_p30tip,pullingwiderun_count_shotwithin10s_p30tip,aheadoftheballrun_count_shotwithin10s_p30tip,supportrun_count_shotwithin10s_p30tip,underlaprun_count_shotwithin10s_p30tip,offballrun_count_goalwithin10s_p30tip,behindrun_count_goalwithin10s_p30tip,comingshortrun_count_goalwithin10s_p30tip,crossreceiverrun_count_goalwithin10s_p30tip,droppingoffrun_count_goalwithin10s_p30tip,overlaprun_count_goalwithin10s_p30tip,pullinghalfspacerun_count_goalwithin10s_p30tip,pullingwiderun_count_goalwithin10s_p30tip,aheadoftheballrun_count_goalwithin10s_p30tip,supportrun_count_goalwithin10s_p30tip,underlaprun_count_goalwithin10s_p30tip,offballrun_count_targeted_p30tip,behindrun_count_targeted_p30tip,comingshortrun_count_targeted_p30tip,crossreceiverrun_count_targeted_p30tip,droppingoffrun_count_targeted_p30tip,overlaprun_count_targeted_p30tip,pullinghalfspacerun_count_targeted_p30tip,pullingwiderun_count_targeted_p30tip,aheadoftheballrun_count_targeted_p30tip,supportrun_count_targeted_p30tip,underlaprun_count_targeted_p30tip,offballrun_count_received_p30tip,behindrun_count_received_p30tip,comingshortrun_count_received_p30tip,crossreceiverrun_count_received_p30tip,droppingoffrun_count_received_p30tip,overlaprun_count_received_p30tip,pullinghalfspacerun_count_received_p30tip,pullingwiderun_count_received_p30tip,aheadoftheballrun_count_received_p30tip,supportrun_count_received_p30tip,underlaprun_count_received_p30tip,offballrun_avgdistance,behindrun_avgdistance,comingshortrun_avgdistance,crossreceiverrun_avgdistance,droppingoffrun_avgdistance,overlaprun_avgdistance,pullinghalfspacerun_avgdistance,pullingwiderun_avgdistance,aheadoftheballrun_avgdistance,supportrun_avgdistance,underlaprun_avgdistance,offballrun_count_abovehsr_p30tip,behindrun_count_abovehsr_p30tip,comingshortrun_count_abovehsr_p30tip,crossreceiverrun_count_abovehsr_p30tip,droppingoffrun_count_abovehsr_p30tip,overlaprun_count_abovehsr_p30tip,pullinghalfspacerun_count_abovehsr_p30tip,pullingwiderun_count_abovehsr_p30tip,aheadoftheballrun_count_abovehsr_p30tip,supportrun_count_abovehsr_p30tip,underlaprun_count_abovehsr_p30tip,offballrun_count_penaltyarea_p30tip,offballrun_count_dangerous_p30tip,behindrun_count_dangerous_p30tip,comingshortrun_count_dangerous_p30tip,crossreceiverrun_count_dangerous_p30tip,droppingoffrun_count_dangerous_p30tip,overlaprun_count_dangerous_p30tip,pullinghalfspacerun_count_dangerous_p30tip,pullingwiderun_count_dangerous_p30tip,aheadoftheballrun_count_dangerous_p30tip,supportrun_count_dangerous_p30tip,underlaprun_count_dangerous_p30tip,offballrun_count_dangerous_targeted_p30tip,behindrun_count_dangerous_targeted_p30tip,comingshortrun_count_dangerous_targeted_p30tip,crossreceiverrun_count_dangerous_targeted_p30tip,droppingoffrun_count_dangerous_targeted_p30tip,overlaprun_count_dangerous_targeted_p30tip,pullinghalfspacerun_count_dangerous_targeted_p30tip,pullingwiderun_count_dangerous_targeted_p30tip,aheadoftheballrun_count_dangerous_targeted_p30tip,supportrun_count_dangerous_targeted_p30tip,underlaprun_count_dangerous_targeted_p30tip,offballrun_count_dangerous_received_p30tip,behindrun_count_dangerous_received_p30tip,comingshortrun_count_dangerous_received_p30tip,crossreceiverrun_count_dangerous_received_p30tip,droppingoffrun_count_dangerous_received_p30tip,overlaprun_count_dangerous_received_p30tip,pullinghalfspacerun_count_dangerous_received_p30tip,pullingwiderun_count_dangerous_received_p30tip,aheadoftheballrun_count_dangerous_received_p30tip,supportrun_count_dangerous_received_p30tip,underlaprun_count_dangerous_received_p30tip
870,61,AUS - A-League,95,2024/2025,211,Adam Taggart,A. Taggart,1993-06-02,871,Perth Glory Football Club,Center Forward,97.47,22.83,32.1,13,13,0,354.0,35.78,9.6,1.31,8.69,0.0,0.71,0.91,0.51,11.22,2.73,0.1,2.83,0.81,0.0,0.71,0.0,0.2,0.0,0.0,0.81,0.3,0.0,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.46,4.75,0.71,3.84,0.0,0.51,0.4,0.4,3.94,0.91,0.0,7.18,2.12,0.4,1.11,0.0,0.4,0.1,0.3,2.02,0.71,0.0,13.72,15.39,7.8,15.5,,10.45,7.68,11.39,12.14,14.33,27.1,11.62,4.85,0.2,3.34,0.0,0.3,0.1,0.0,2.12,0.61,0.1,8.99,25.27,8.09,0.1,8.59,0.0,0.1,0.0,0.0,6.77,1.52,0.1,10.01,3.54,0.0,3.84,0.0,0.0,0.0,0.0,2.02,0.61,0.0,4.35,1.62,0.0,1.11,0.0,0.0,0.0,0.0,1.21,0.4,0.0
870,61,AUS - A-League,95,2024/2025,218,Adama Traoré,A. Traoré,1990-02-03,868,Melbourne Victory Football Club,Full Back,89.0,26.23,19.77,2,2,0,27.0,15.44,0.0,0.0,1.72,2.29,2.29,0.0,1.14,4.0,4.0,0.0,1.14,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.57,1.14,1.72,0.0,0.57,1.14,1.72,0.0,6.29,0.0,0.0,0.57,1.14,1.14,0.0,0.57,1.14,1.72,0.0,12.53,,,25.1,8.94,10.95,,8.68,14.44,9.28,,3.43,0.0,0.0,1.14,0.0,0.57,0.0,0.0,1.14,0.57,0.0,1.72,4.0,0.0,0.0,1.72,0.0,0.57,0.0,0.0,1.14,0.57,0.0,1.14,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0,1.14,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0
870,61,AUS - A-League,95,2024/2025,2759,Dino Arslanagić,D. Arslanagić,1993-04-24,1804,Macarthur FC,Central Defender,96.57,27.05,28.14,7,7,0,41.0,6.5,0.0,0.48,0.16,4.12,0.0,0.0,0.48,0.79,0.48,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.16,2.38,0.0,0.0,0.32,0.16,0.32,0.0,3.17,0.0,0.0,0.0,2.38,0.0,0.0,0.32,0.16,0.32,0.0,11.86,,14.56,3.22,11.01,,,10.47,20.47,6.46,,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0
870,61,AUS - A-League,95,2024/2025,2858,Douglas  Costa de Souza,Douglas Costa,1990-09-14,869,Sydney Football Club,Center Forward,92.87,28.2,24.48,4,3,1,79.0,28.01,1.06,5.67,1.77,0.0,0.71,2.84,1.77,7.45,5.32,1.42,1.77,0.0,0.35,0.0,0.0,0.0,0.0,0.35,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28,0.71,2.84,0.71,0.0,0.0,1.42,0.71,1.06,1.77,1.06,8.86,0.71,2.48,0.35,0.0,0.0,1.42,0.71,1.06,1.42,0.71,11.99,12.35,5.85,22.69,,18.8,10.92,9.2,13.12,12.78,16.16,4.25,0.35,0.0,0.71,0.0,0.0,0.0,0.35,1.06,0.71,1.06,2.13,7.45,1.06,0.0,1.42,0.0,0.0,0.0,0.0,2.13,2.48,0.35,2.13,0.71,0.0,0.35,0.0,0.0,0.0,0.0,0.35,0.71,0.0,1.42,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0
870,61,AUS - A-League,95,2024/2025,2858,Douglas  Costa de Souza,Douglas Costa,1990-09-14,869,Sydney Football Club,Midfield,67.56,20.57,17.91,1,1,0,22.0,32.09,1.46,5.83,1.46,1.46,0.0,0.0,0.0,14.58,7.29,0.0,2.92,0.0,0.0,0.0,1.46,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1.46,2.92,0.0,1.46,0.0,0.0,0.0,5.83,5.83,0.0,13.13,0.0,2.92,0.0,1.46,0.0,0.0,0.0,4.38,4.38,0.0,11.53,10.51,9.9,3.89,11.65,,,,7.09,23.43,,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,1.46,0.0,1.46,5.83,1.46,0.0,1.46,0.0,0.0,0.0,0.0,1.46,1.46,0.0,4.38,1.46,0.0,0.0,0.0,0.0,0.0,0.0,1.46,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,61,AUS - A-League,95,2024/2025,2858,Douglas  Costa de Souza,Douglas Costa,1990-09-14,869,Sydney Football Club,Wide Attacker,94.89,26.65,21.76,4,4,0,87.0,24.49,0.56,6.19,1.97,0.0,0.0,1.97,3.1,5.35,5.35,0.0,1.13,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57,0.28,3.66,0.84,0.0,0.0,0.28,1.41,2.25,0.84,0.0,8.16,0.0,3.38,0.56,0.0,0.0,0.28,1.41,1.69,0.84,0.0,13.87,15.3,10.36,24.56,,,10.56,15.26,15.68,12.48,,4.22,0.28,0.84,1.13,0.0,0.0,0.0,0.84,1.13,0.0,0.0,2.25,5.63,0.28,0.0,1.97,0.0,0.0,0.0,0.28,1.41,1.69,0.0,1.97,0.28,0.0,0.84,0.0,0.0,0.0,0.28,0.28,0.28,0.0,1.41,0.0,0.0,0.56,0.0,0.0,0.0,0.28,0.28,0.28,0.0
870,61,AUS - A-League,95,2024/2025,3443,Filip Kurto,F. Kurto,1991-06-14,1804,Macarthur FC,Goalkeeper,99.48,26.41,27.83,21,21,0,2.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,61,AUS - A-League,95,2024/2025,4322,Hiroki Sakai,H. Sakai,1990-04-12,4177,Auckland FC,Central Defender,97.66,21.98,24.4,1,1,0,7.0,9.55,0.0,1.36,0.0,0.0,1.36,0.0,0.0,0.0,4.09,2.73,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,18.75,,17.87,,,62.28,,,,5.5,17.29,4.09,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,2.73,1.36,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0
870,61,AUS - A-League,95,2024/2025,4322,Hiroki Sakai,H. Sakai,1990-04-12,4177,Auckland FC,Full Back,99.81,24.86,25.94,13,13,0,222.0,20.61,0.65,0.46,0.46,3.06,2.78,0.0,1.76,5.48,4.55,1.39,0.74,0.09,0.0,0.19,0.0,0.19,0.0,0.09,0.09,0.09,0.0,0.37,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.19,0.0,0.0,7.8,0.28,0.19,0.28,1.39,0.74,0.0,1.21,2.23,1.21,0.28,6.5,0.19,0.19,0.19,1.39,0.74,0.0,1.11,1.39,1.11,0.19,15.26,14.89,12.08,24.8,11.41,22.89,,16.12,12.8,13.84,19.75,6.96,0.46,0.0,0.19,0.19,1.76,0.0,0.56,1.76,1.21,0.84,1.86,2.04,0.28,0.0,0.46,0.0,0.46,0.0,0.0,0.28,0.28,0.28,0.65,0.0,0.0,0.28,0.0,0.19,0.0,0.0,0.09,0.0,0.09,0.37,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0
870,61,AUS - A-League,95,2024/2025,4792,Javi López ,Javi López,1986-01-21,866,Adelaide United Football Club,Full Back,94.36,25.5,26.88,5,5,0,60.0,14.12,0.0,0.47,0.24,4.23,0.94,0.0,1.88,2.59,3.06,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.24,0.24,1.18,0.0,0.0,1.18,1.41,1.18,0.24,5.18,0.0,0.0,0.24,1.18,0.0,0.0,1.18,1.41,0.94,0.24,11.91,,7.76,42.05,9.08,12.68,,8.69,15.74,12.36,13.18,3.06,0.0,0.0,0.24,0.24,0.71,0.0,0.24,0.94,0.47,0.24,0.47,1.18,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.24,0.24,0.24,0.47,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.47,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.24
