competition_edition_id,competition_id,competition_name,season_id,season_name,player_id,player_name,player_short_name,player_birthdate,team_id,team_name,position_group,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count_p30tip,pass_count_goalwithin10s_p30tip,pass_count_shotwithin10s_p30tip,pass_count_attempted_total,pass_count_attempted_p30tip,pass_count_completed_p30tip,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted_p30tip,pass_count_onetouch_attempted_p30tip,pass_count_quickpass_attempted_p30tip,pass_count_onetouch_dangerous_attempted_p30tip,pass_count_quickpass_dangerous_attempted_p30tip,passopportunity_count_linebreak_p30tip,pass_count_linebreak_attempted_p30tip,pass_count_linebreak_completed_p30tip,passopportunity_count_torun_p30tip,pass_count_torun_attempted_p30tip,pass_count_torun_completed_p30tip,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s_p30tip,pass_count_torun_goalwithin10s_p30tip,passopportunity_count_dangerous_p30tip,pass_count_dangerous_attempted_p30tip,pass_pct_dangerous_completed,pass_count_dangerous_completed_p30tip,pass_count_difficultpass_attempted_p30tip
870,61,AUS - A-League,95,2024/2025,211,Adam Taggart,A. Taggart,1993-06-02,871,Perth Glory Football Club,Center Forward,97.47,22.83,32.1,13,13,0,524.0,52.96,0.3,1.82,198.0,20.01,15.16,75.76,74.46,12.89,0.61,10.81,3.13,2.83,0.81,1.41,0.61,0.2,23.24,8.89,6.27,70.46,70.66,1.11,0.2,21.12,5.66,57.14,3.23,5.15
870,61,AUS - A-League,95,2024/2025,218,Adama Traoré,A. Traoré,1990-02-03,868,Melbourne Victory Football Club,Full Back,89.0,26.23,19.77,2,2,0,296.0,169.3,0.0,2.29,100.0,57.2,50.91,89.0,85.8,16.03,2.86,7.44,14.87,0.57,0.0,42.9,9.15,8.01,37.75,14.87,13.16,88.46,70.43,2.29,0.0,12.58,5.72,60.0,3.43,10.87
870,61,AUS - A-League,95,2024/2025,2759,Dino Arslanagić,D. Arslanagić,1993-04-24,1804,Macarthur FC,Central Defender,96.57,27.05,28.14,7,7,0,949.0,150.37,0.16,0.32,378.0,59.9,54.51,91.0,93.09,19.21,4.12,15.53,15.37,0.0,0.16,43.1,11.41,8.71,14.1,6.5,5.86,90.24,89.49,0.0,0.0,0.95,0.32,50.0,0.16,4.6
870,61,AUS - A-League,95,2024/2025,2858,Douglas  Costa de Souza,Douglas Costa,1990-09-14,869,Sydney Football Club,Center Forward,92.87,28.2,24.48,4,3,1,507.0,179.77,0.35,7.45,143.0,50.7,40.78,80.42,77.0,13.92,1.77,14.54,6.74,1.77,1.42,21.63,7.8,6.03,37.94,15.6,12.41,79.55,72.08,3.19,0.35,42.55,11.35,62.5,7.09,13.83
870,61,AUS - A-League,95,2024/2025,2858,Douglas  Costa de Souza,Douglas Costa,1990-09-14,869,Sydney Football Club,Midfield,67.56,20.57,17.91,1,1,0,129.0,188.14,1.46,7.29,41.0,59.8,49.59,82.93,78.8,16.89,5.83,18.96,7.29,0.0,1.46,21.88,10.21,8.75,42.29,20.42,17.5,85.71,79.65,4.38,0.0,26.25,8.75,100.0,8.75,13.13
870,61,AUS - A-League,95,2024/2025,2858,Douglas  Costa de Souza,Douglas Costa,1990-09-14,869,Sydney Football Club,Wide Attacker,94.89,26.65,21.76,4,4,0,524.0,147.48,0.56,4.78,151.0,42.5,35.46,83.44,78.87,14.06,2.53,12.95,5.35,1.41,0.84,17.45,5.63,3.94,28.15,10.41,8.44,81.08,70.85,1.69,0.28,29.83,7.88,78.57,6.19,10.13
870,61,AUS - A-League,95,2024/2025,3443,Filip Kurto,F. Kurto,1991-06-14,1804,Macarthur FC,Goalkeeper,99.48,26.41,27.83,21,21,0,758.0,41.0,0.0,0.0,327.0,17.69,12.76,72.17,83.54,23.93,3.14,5.25,1.24,0.0,0.0,17.2,5.41,2.16,9.25,3.62,3.3,91.04,95.67,0.0,0.0,0.0,0.0,,0.0,2.33
870,61,AUS - A-League,95,2024/2025,4322,Hiroki Sakai,H. Sakai,1990-04-12,4177,Auckland FC,Central Defender,97.66,21.98,24.4,1,1,0,59.0,80.53,0.0,0.0,23.0,31.39,20.47,65.22,78.0,17.8,0.0,13.65,5.46,1.36,0.0,12.28,2.73,2.73,13.65,6.82,2.73,40.0,66.62,0.0,0.0,4.09,1.36,0.0,0.0,9.55
870,61,AUS - A-League,95,2024/2025,4322,Hiroki Sakai,H. Sakai,1990-04-12,4177,Auckland FC,Full Back,99.81,24.86,25.94,13,13,0,1321.0,122.61,0.37,1.86,453.0,42.05,34.44,81.9,83.09,15.78,2.04,10.49,9.56,0.37,0.37,28.12,7.61,5.57,30.63,11.32,9.1,80.33,78.39,0.56,0.09,10.86,2.78,36.67,1.02,9.28
870,61,AUS - A-League,95,2024/2025,4792,Javi López ,Javi López,1986-01-21,866,Adelaide United Football Club,Full Back,94.36,25.5,26.88,5,5,0,598.0,140.69,0.47,1.88,217.0,51.05,42.35,82.95,84.8,15.17,1.65,13.88,13.41,0.24,0.24,39.29,13.18,9.88,23.53,8.94,6.82,76.32,76.2,0.24,0.0,9.18,2.82,58.33,1.65,10.35
